Freq.	V(vo)
1.00000000000000e+002,-1.82701567719600e+001,8.29811925712571e+001
1.25892541179417e+002,-1.63078237647588e+001,8.11936228510918e+001
1.58489319246111e+002,-1.43668606580850e+001,7.89670772939037e+001
1.99526231496888e+002,-1.24588143326849e+001,7.62112992347673e+001
2.51188643150958e+002,-1.06006766500518e+001,7.28329597800388e+001
3.16227766016838e+002,-8.81643162369122e+000,6.87499559702539e+001
3.98107170553497e+002,-7.13783358331433e+000,6.39160772674640e+001
5.01187233627272e+002,-5.60300332213840e+000,5.83551094475751e+001
6.30957344480193e+002,-4.25125668417418e+000,5.21942004808066e+001
7.94328234724282e+002,-3.11400461465853e+000,4.56748913707305e+001
1.00000000000000e+003,-2.20488088284855e+000,3.91204658237735e+001
1.25892541179417e+003,-1.51476708507638e+000,3.28627587206020e+001
1.58489319246111e+003,-1.01516542935792e+000,2.71643301604332e+001
1.99526231496888e+003,-6.67542335917115e-001,2.21760601572904e+001
2.51188643150958e+003,-4.32967369389572e-001,1.79405341190146e+001
3.16227766016838e+003,-2.78164010802128e-001,1.44228735583519e+001
3.98107170553498e+003,-1.77572013868019e-001,1.15459150133121e+001
5.01187233627273e+003,-1.12882603405330e-001,9.21710042208949e+000
6.30957344480194e+003,-7.15649236883573e-002,7.34472432847711e+000
7.94328234724282e+003,-4.52915129742640e-002,5.84592000223084e+000
8.00000000000000e+003,-4.46548610354765e-002,5.80475818340398e+000
