Freq.	V(vo)
1.00000000000000e+002,-1.32563590997326e+001,2.18498038144340e+001
1.25892541179417e+002,-1.27673020240238e+001,2.61211335578713e+001
1.58489319246111e+002,-1.20994338016937e+001,3.05628468835157e+001
1.99526231496888e+002,-1.12338008043141e+001,3.48215657147447e+001
2.51188643150958e+002,-1.01755732557659e+001,3.84714146243351e+001
3.16227766016838e+002,-8.95826472268218e+000,4.11009734623555e+001
3.98107170553497e+002,-7.63961207334097e+000,4.23997955097807e+001
5.01187233627272e+002,-6.29209471977255e+000,4.22132597364461e+001
6.30957344480193e+002,-4.99219453850470e+000,4.05635608902825e+001
7.94328234724282e+002,-3.80973724586776e+000,3.76470235025927e+001
1.00000000000000e+003,-2.79721293805835e+000,3.38057199765408e+001
1.25892541179417e+003,-1.98118842044066e+000,2.94634584477558e+001
1.58489319246111e+003,-1.36014299285181e+000,2.50353156132460e+001
1.99526231496888e+003,-9.10623466565678e-001,2.08471047751387e+001
2.51188643150958e+003,-5.98229853000876e-001,1.70987143902121e+001
3.16227766016838e+003,-3.87717134463015e-001,1.38738849059768e+001
3.98107170553498e+003,-2.48954929191033e-001,1.11743774987779e+001
5.01187233627273e+003,-1.58865149970917e-001,8.95590066632069e+000
6.30957344480194e+003,-1.00964928548307e-001,7.15477668518135e+000
7.94328234724282e+003,-6.39987422479187e-002,5.70399913791890e+000
8.00000000000000e+003,-6.31015430933340e-002,5.66406008867943e+000
