     0.238,0.000389580,    0.33,    0.00,  100.02,    0.01
     0.290,0.000395261,    0.54,    0.00,  199.98,    0.02
     0.357,0.000404383,    0.65,    0.00,  299.98,    0.02
     0.425,0.000434256,    0.68,    0.00,  400.03,    0.04
     0.489,0.000444279,    0.69,    0.00,  500.05,    0.03
     0.548,0.000452956,    0.67,    0.00,  600.04,    0.03
     0.574,0.000444524,    0.66,    0.00,  650.06,    0.06
     0.600,0.000459724,    0.65,    0.00,  700.02,    0.05
     0.622,0.000454794,    0.63,    0.00,  749.98,    0.02
     0.646,0.000459476,    0.62,    0.00,  800.05,    0.02
     0.666,0.000462847,    0.61,    0.00,  850.00,    0.02
     0.686,0.000454704,    0.59,    0.00,  900.04,    0.02
     0.702,0.000455412,    0.58,    0.00,  949.91,    0.04
     0.717,0.000451095,    0.56,    0.00, 1000.02,    0.02
     0.831,0.000427038,    0.43,    0.00, 1499.98,    0.03
     0.886,0.000402267,    0.34,    0.00, 2000.03,    0.03
     0.915,0.000406410,    0.28,    0.00, 2500.02,    0.03
     0.933,0.000381638,    0.24,    0.00, 2999.93,    0.05
     0.955,0.000651287,    0.17,    0.02, 3999.93,    0.19
     0.963,0.000730281,    0.15,    0.03, 5000.14,    0.10
     0.968,0.000756876,    0.10,    0.04, 6000.38,    0.40
     0.971,0.000805556,    0.12,    0.04, 6999.78,    0.39
     0.973,0.000808382,    0.05,    0.09, 8000.11,    0.90
