Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8
0.002140,0.210000,0.513000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002176,0.147000,0.469000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002212,0.103000,0.430000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002248,0.093000,0.396000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002288,0.108000,0.371000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002324,0.147000,0.352000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002360,0.186000,0.347000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002396,0.249000,0.347000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002432,0.337000,0.367000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002468,0.435000,0.386000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002508,0.533000,0.420000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002544,0.640000,0.459000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002580,0.718000,0.499000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002616,0.811000,0.543000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002652,0.885000,0.587000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002688,0.948000,0.621000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002728,0.973000,0.660000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002764,0.992000,0.699000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002800,0.973000,0.718000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002836,0.943000,0.733000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002872,0.875000,0.733000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002908,0.802000,0.723000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002948,0.709000,0.709000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.002984,0.606000,0.684000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003020,0.513000,0.650000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003056,0.411000,0.611000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003092,0.308000,0.562000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003128,0.235000,0.528000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003164,0.161000,0.484000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003204,0.132000,0.440000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003240,0.098000,0.406000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003276,0.098000,0.376000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003312,0.117000,0.357000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003348,0.161000,0.347000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003384,0.230000,0.347000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003424,0.303000,0.357000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003460,0.406000,0.381000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003496,0.499000,0.406000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003532,0.601000,0.450000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003568,0.704000,0.484000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003604,0.797000,0.528000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003644,0.865000,0.577000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003680,0.938000,0.616000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003716,0.968000,0.655000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003752,0.992000,0.689000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003788,0.973000,0.709000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003824,0.953000,0.723000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003864,0.899000,0.733000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003900,0.816000,0.728000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003936,0.743000,0.718000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.003972,0.640000,0.694000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004008,0.543000,0.660000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004044,0.445000,0.621000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004084,0.342000,0.582000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004128,0.239000,0.528000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004164,0.171000,0.484000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004200,0.117000,0.445000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004236,0.088000,0.406000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004272,0.093000,0.381000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004312,0.112000,0.362000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004348,0.161000,0.347000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004384,0.215000,0.347000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004420,0.298000,0.357000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004456,0.386000,0.381000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004492,0.499000,0.406000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004532,0.587000,0.445000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004568,0.694000,0.484000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
0.004604,0.782000,0.528000,0.902000,0.386000,1008.100000,0.428000,1558657408.000000
