0.777,0.733,3.56
0.802,0.753,3.69
0.841,0.797,3.87
0.885,0.836,4.07
0.885,0.841,4.06
0.948,0.894,4.33
0.973,0.914,4.43
1.022,0.958,4.64
1.012,0.953,4.62
1.070,1.007,4.87
1.139,1.070,5.19
1.134,1.065,5.17
1.188,1.114,5.40
1.237,1.163,5.65
1.334,1.256,6.05
1.339,1.261,6.07
1.378,1.300,6.30
1.398,1.315,6.33
1.408,1.325,6.42
1.515,1.422,6.85
1.510,1.422,6.87
1.505,1.417,6.83
1.574,1.476,7.16
1.564,1.471,7.10
1.725,1.618,7.80
1.725,1.618,7.79
1.750,1.642,7.91
1.755,1.647,7.92
1.848,1.735,8.34
1.843,1.730,8.30
1.843,1.730,8.32
1.872,1.764,8.54
1.872,1.764,8.57
1.882,1.774,8.53
1.887,1.784,8.57
1.975,1.867,8.92
1.975,1.862,8.97
2.121,2.004,9.63
2.107,1.989,9.53
2.190,2.072,9.90
2.195,2.072,9.95
2.307,2.180,10.45
2.312,2.185,10.45
2.414,2.283,10.92
2.414,2.287,10.92
2.678,2.532,11.99
2.683,2.537,12.05
2.815,2.664,12.51
2.830,2.678,12.61
3.045,2.879,13.72
2.991,2.830,13.43
3.152,2.977,14.13
3.094,2.928,13.95
3.368,3.187,15.03
3.460,3.275,15.45
3.485,3.299,15.55
3.631,3.436,16.22
3.622,3.431,16.14
3.930,3.719,17.53
3.939,3.724,17.65
4.081,3.856,18.13
4.062,3.837,18.09
4.150,3.925,18.48
4.282,4.047,19.04
4.404,4.164,19.69
4.467,4.218,19.95
