Channel 1,Channel 2,Channel 3
0.010780,0.000000,0.000000
0.010830,0.000000,0.000000
0.010880,0.000000,0.000000
0.010930,0.000000,0.000000
0.010980,0.000000,0.000000
0.011040,0.000000,0.000000
0.011080,0.000000,0.000000
0.011140,0.000000,0.000000
0.011190,0.000000,0.000000
0.011240,0.000000,0.000000
0.011290,0.000000,0.000000
0.011340,0.000000,0.000000
0.011390,0.000000,0.000000
0.011440,0.000000,0.000000
0.011490,0.000000,0.000000
0.011540,0.000000,0.000000
0.011600,0.000000,0.000000
0.011650,0.000000,0.000000
0.011700,0.000000,0.000000
0.011750,0.000000,0.000000
0.011800,0.000000,0.000000
0.011850,0.000000,0.000000
0.011900,0.000000,0.000000
0.011950,0.000000,0.000000
0.012010,0.000000,0.000000
0.012060,0.000000,0.000000
0.012110,0.000000,0.000000
0.012160,0.000000,0.000000
0.012210,0.000000,0.000000
0.012260,0.000000,0.000000
0.012310,0.000000,0.000000
0.012360,0.000000,0.000000
0.012420,0.000000,0.000000
0.012460,0.000000,0.000000
0.012520,0.000000,0.000000
0.012570,0.000000,0.000000
0.012620,0.000000,0.000000
0.012670,0.000000,0.000000
0.012720,0.000000,0.000000
0.012770,0.000000,0.000000
0.012820,0.000000,0.000000
0.012870,0.000000,0.000000
0.012920,0.000000,0.000000
0.012980,0.000000,0.000000
0.013030,0.000000,0.000000
0.013080,0.000000,0.000000
0.013130,0.000000,0.000000
0.013180,0.000000,0.000000
0.013240,0.000000,0.000000
0.013280,0.000000,0.000000
0.013340,0.000000,0.000000
0.013390,0.000000,0.000000
0.013440,0.000000,0.000000
0.013490,0.000000,0.000000
0.013540,0.000000,0.000000
0.013590,0.000000,0.000000
0.013640,0.000000,0.000000
0.013690,0.000000,0.000000
0.013740,0.000000,0.000000
0.013800,0.000000,0.000000
0.013850,0.000000,0.000000
0.013900,0.000000,0.000000
0.013950,0.000000,0.000000
0.014000,0.000000,0.000000
0.014060,0.000000,0.000000
0.014110,0.000000,0.000000
0.014160,0.000000,0.000000
0.014210,0.000000,0.000000
0.014260,0.000000,0.000000
0.014310,0.000000,0.000000
0.014360,0.000000,0.000000
0.014410,0.000000,0.000000
0.014460,0.000000,0.000000
0.014520,0.000000,0.000000
0.014560,0.000000,0.000000
0.014620,0.000000,0.000000
0.014670,0.000000,0.000000
0.014720,0.000000,0.000000
0.014770,0.000000,0.000000
0.014820,0.000000,0.000000
0.014870,0.000000,0.000000
0.014920,0.000000,0.000000
0.014970,0.000000,0.000000
0.015020,0.000000,0.000000
0.015080,0.000000,0.000000
0.015130,0.000000,0.000000
0.015180,0.000000,0.000000
0.015230,0.000000,0.000000
0.015280,0.000000,0.000000
0.015330,0.000000,0.000000
0.000040,0.034000,0.884653
0.000100,0.156000,0.762463
0.000160,0.254000,0.664712
0.000210,0.337000,0.581623
0.000260,0.406000,0.513196
0.000320,0.469000,0.449658
0.000380,0.523000,0.395894
0.000440,0.567000,0.351906
0.000490,0.611000,0.307918
0.000550,0.645000,0.273705
0.000610,0.679000,0.239492
0.000660,0.704000,0.219941
0.000720,0.728000,0.190616
0.000780,0.748000,0.171066
0.000830,0.767000,0.146628
0.000890,0.782000,0.136852
0.000940,0.797000,0.122190
0.001000,0.811000,0.107527
0.001060,0.816000,0.102639
0.001120,0.831000,0.087977
0.001170,0.841000,0.078201
0.001220,0.850000,0.063539
0.001280,0.855000,0.063539
0.001340,0.860000,0.053763
0.001390,0.865000,0.053763
0.001440,0.870000,0.048876
0.001500,0.875000,0.043988
0.001560,0.875000,0.039101
0.001610,0.880000,0.039101
0.001660,0.890000,0.029326
0.001720,0.890000,0.029326
0.001780,0.890000,0.014663
0.001830,0.894000,0.019550
0.001880,0.894000,0.024438
0.001940,0.899000,0.019550
0.002000,0.899000,0.014663
0.002050,0.899000,0.014663
0.002100,0.899000,0.029326
0.002160,0.899000,0.019550
0.002210,0.899000,0.014663
0.002270,0.904000,0.024438
0.002320,0.904000,0.014663
0.002380,0.904000,0.014663
0.002430,0.904000,0.014663
0.002480,0.904000,0.009775
0.002540,0.904000,0.014663
0.002590,0.904000,0.019550
0.002640,0.904000,0.009775
0.002700,0.904000,0.014663
0.002750,0.904000,0.014663
0.002810,0.904000,0.009775
0.002860,0.904000,0.014663
0.002920,0.909000,0.009775
0.002970,0.914000,0.000000
0.003020,0.909000,0.009775
0.003080,0.909000,-0.004888
0.003130,0.909000,-0.004888
0.003180,0.909000,0.009775
0.003240,0.914000,0.004888
0.003290,0.909000,0.004888
0.003350,0.914000,0.004888
0.003400,0.914000,0.004888
0.003460,0.914000,0.004888
0.003510,0.914000,0.009775
0.003560,0.914000,0.000000
0.003620,0.914000,0.004888
0.003670,0.914000,0.004888
0.003720,0.914000,0.004888
0.003780,0.914000,0.004888
0.003830,0.914000,0.004888
0.003890,0.914000,0.004888
0.003940,0.914000,0.004888
0.004000,0.914000,0.000000
0.004050,0.914000,0.004888
0.004100,0.914000,0.000000
0.004160,0.914000,-0.009775
0.004210,0.914000,0.000000
0.004260,0.914000,0.004888
0.004320,0.914000,0.000000
0.004370,0.914000,0.004888
0.004420,0.914000,0.004888
0.004470,0.914000,0.004888
0.004530,0.914000,0.004888
0.004580,0.914000,0.004888
0.004630,0.914000,0.004888
0.004680,0.914000,0.004888
0.004740,0.914000,0.004888
0.004790,0.914000,0.004888
0.004840,0.914000,0.004888
0.004900,0.914000,0.004888
0.004950,0.914000,0.004888
0.005000,0.914000,0.004888
0.005060,0.914000,0.004888
0.005110,0.914000,0.004888
0.005160,0.914000,0.000000
0.005220,0.914000,0.004888
0.005270,0.914000,0.000000
0.005320,0.914000,0.004888
0.005380,0.914000,0.004888
0.005430,0.914000,0.004888
0.005480,0.914000,0.004888
0.005530,0.914000,0.004888
0.005590,0.914000,0.004888
0.005640,0.914000,0.000000
0.005690,0.914000,0.004888
0.005740,0.914000,0.004888
0.005800,0.914000,0.004888
0.005850,0.914000,0.004888
0.005900,0.914000,0.004888
0.005960,0.914000,0.004888
0.006010,0.914000,0.004888
0.006060,0.914000,0.004888
0.006120,0.914000,0.004888
0.006170,0.914000,0.004888
0.006230,0.914000,0.004888
0.006280,0.914000,0.004888
0.006340,0.914000,0.004888
0.006390,0.914000,0.004888
0.006440,0.914000,0.000000
0.006490,0.914000,0.004888
0.006550,0.914000,0.004888
0.006600,0.914000,0.004888
0.006650,0.914000,0.004888
0.006700,0.914000,0.004888
0.006760,0.914000,0.004888
0.006810,0.914000,0.004888
0.006860,0.914000,0.000000
0.006920,0.914000,0.004888
0.006970,0.914000,0.004888
0.007020,0.914000,0.004888
0.007080,0.914000,0.004888
0.007130,0.914000,0.004888
0.007180,0.914000,0.004888
0.007240,0.914000,0.000000
0.007300,0.914000,0.004888
0.007350,0.914000,0.004888
0.007400,0.914000,0.004888
0.007450,0.914000,0.004888
0.007510,0.914000,0.004888
0.007560,0.914000,0.004888
0.007610,0.914000,0.004888
0.007660,0.914000,0.000000
0.007720,0.914000,0.004888
0.007770,0.914000,0.004888
0.007820,0.914000,0.004888
0.007880,0.914000,0.000000
0.007930,0.914000,0.004888
0.007980,0.914000,0.004888
0.008040,0.914000,0.004888
0.008090,0.919000,0.000000
0.008130,0.860000,-0.860000
0.008180,0.758000,-0.758000
0.008240,0.660000,-0.660000
0.008290,0.587000,-0.587000
0.008340,0.513000,-0.513000
0.008390,0.459000,-0.459000
0.008440,0.406000,-0.406000
0.008500,0.357000,-0.357000
0.008550,0.318000,-0.318000
0.008600,0.283000,-0.283000
0.008650,0.249000,-0.249000
0.008700,0.225000,-0.225000
0.008760,0.200000,-0.200000
0.008810,0.176000,-0.176000
0.008860,0.156000,-0.156000
0.008910,0.137000,-0.137000
0.008960,0.122000,-0.122000
0.009020,0.112000,-0.112000
0.009070,0.098000,-0.098000
0.009120,0.088000,-0.088000
0.009170,0.078000,-0.078000
0.009220,0.068000,-0.068000
0.009280,0.059000,-0.059000
0.009330,0.054000,-0.054000
0.009380,0.044000,-0.044000
0.009430,0.039000,-0.039000
0.009480,0.034000,-0.034000
0.009530,0.034000,-0.034000
0.009580,0.029000,-0.029000
0.009640,0.024000,-0.024000
0.009690,0.020000,-0.020000
0.009740,0.015000,-0.015000
0.009790,0.015000,-0.015000
0.009840,0.015000,-0.015000
0.009900,0.015000,-0.015000
0.009950,0.010000,-0.010000
0.010000,0.005000,-0.005000
0.010050,0.005000,-0.005000
0.010100,0.005000,-0.005000
0.010160,0.005000,-0.005000
0.010210,0.000000,0.000000
0.010260,0.000000,0.000000
0.010310,0.000000,0.000000
0.010370,0.000000,0.000000
0.010420,0.000000,0.000000
0.010480,0.000000,0.000000
0.010530,0.000000,0.000000
0.010580,0.000000,0.000000
