x	V(vo)	I(Rc)
5.160000000000000e+003	2.713525e+000	5.258770e-004
5.210000000000000e+003	2.717904e+000	5.216707e-004
5.260000000000000e+003	2.722214e+000	5.175312e-004
5.310000000000000e+003	2.726456e+000	5.134568e-004
5.360000000000000e+003	2.730631e+000	5.094461e-004
5.410000000000000e+003	2.734742e+000	5.054976e-004
5.460000000000000e+003	2.738790e+000	5.016098e-004
5.510000000000000e+003	2.742775e+000	4.977814e-004
5.560000000000000e+003	2.746701e+000	4.940109e-004
5.610000000000000e+003	2.750567e+000	4.902972e-004
5.660000000000000e+003	2.754376e+000	4.866388e-004
5.710000000000000e+003	2.758128e+000	4.830347e-004
5.760000000000000e+003	2.761825e+000	4.794835e-004
5.810000000000000e+003	2.765468e+000	4.759842e-004
5.860000000000000e+003	2.769058e+000	4.725356e-004
5.910000000000000e+003	2.772597e+000	4.691366e-004
5.960000000000000e+003	2.776085e+000	4.657861e-004
6.010000000000000e+003	2.779524e+000	4.624832e-004
6.060000000000000e+003	2.782914e+000	4.592268e-004
6.110000000000000e+003	2.786257e+000	4.560159e-004
6.160000000000000e+003	2.789553e+000	4.528496e-004
6.210000000000000e+003	2.792804e+000	4.497269e-004
6.260000000000000e+003	2.796011e+000	4.466471e-004
6.310000000000000e+003	2.799174e+000	4.436091e-004
6.360000000000000e+003	2.802294e+000	4.406122e-004
6.410000000000000e+003	2.805372e+000	4.376555e-004
6.460000000000000e+003	2.808409e+000	4.347382e-004
6.510000000000000e+003	2.811406e+000	4.318596e-004
6.560000000000000e+003	2.814363e+000	4.290188e-004
6.610000000000000e+003	2.817282e+000	4.262152e-004
6.660000000000000e+003	2.820163e+000	4.234479e-004
6.710000000000000e+003	2.823007e+000	4.207164e-004
6.760000000000000e+003	2.825814e+000	4.180199e-004
6.810000000000000e+003	2.828586e+000	4.153577e-004
6.860000000000000e+003	2.831322e+000	4.127292e-004
6.910000000000000e+003	2.834024e+000	4.101338e-004
6.960000000000000e+003	2.836693e+000	4.075708e-004
7.010000000000000e+003	2.839328e+000	4.050396e-004
7.060000000000000e+003	2.841931e+000	4.025397e-004
7.110000000000000e+003	2.844501e+000	4.000705e-004
7.160000000000000e+003	2.847041e+000	3.976314e-004
7.210000000000000e+003	2.849549e+000	3.952218e-004
7.260000000000000e+003	2.852028e+000	3.928413e-004
7.310000000000000e+003	2.854476e+000	3.904892e-004
7.360000000000000e+003	2.856896e+000	3.881652e-004
7.410000000000000e+003	2.859287e+000	3.858687e-004
7.460000000000000e+003	2.861650e+000	3.835991e-004
7.510000000000000e+003	2.863985e+000	3.813561e-004
7.560000000000000e+003	2.866292e+000	3.791392e-004
7.610000000000000e+003	2.868574e+000	3.769480e-004
7.660000000000000e+003	2.870829e+000	3.747819e-004
7.710000000000000e+003	2.873058e+000	3.726405e-004
7.760000000000000e+003	2.875262e+000	3.705235e-004
7.810000000000000e+003	2.877441e+000	3.684304e-004
7.860000000000000e+003	2.879596e+000	3.663608e-004
7.910000000000000e+003	2.881727e+000	3.643144e-004
7.960000000000000e+003	2.883833e+000	3.622907e-004
8.010000000000000e+003	2.885917e+000	3.602893e-004
8.060000000000000e+003	2.887978e+000	3.583099e-004
8.110000000000000e+003	2.890016e+000	3.563522e-004
8.160000000000000e+003	2.892032e+000	3.544157e-004
8.210000000000000e+003	2.894026e+000	3.525002e-004
8.260000000000000e+003	2.895999e+000	3.506052e-004
8.310000000000000e+003	2.897951e+000	3.487305e-004
8.360000000000000e+003	2.899882e+000	3.468758e-004
8.410000000000000e+003	2.901792e+000	3.450407e-004
8.460000000000000e+003	2.903683e+000	3.432249e-004
8.510000000000000e+003	2.905553e+000	3.414281e-004
8.560000000000000e+003	2.907404e+000	3.396501e-004
8.610000000000000e+003	2.909236e+000	3.378904e-004
8.660000000000000e+003	2.911049e+000	3.361489e-004
8.710000000000000e+003	2.912844e+000	3.344252e-004
8.760000000000000e+003	2.914620e+000	3.327192e-004
8.810000000000000e+003	2.916378e+000	3.310304e-004
8.860000000000000e+003	2.918118e+000	3.293588e-004
8.910000000000000e+003	2.919842e+000	3.277039e-004
8.960000000000000e+003	2.921547e+000	3.260655e-004
9.010000000000000e+003	2.923236e+000	3.244435e-004
9.060000000000000e+003	2.924908e+000	3.228375e-004
9.110000000000000e+003	2.926563e+000	3.212474e-004
9.160000000000000e+003	2.928203e+000	3.196728e-004
9.210000000000000e+003	2.929826e+000	3.181136e-004
9.260000000000000e+003	2.931433e+000	3.165695e-004
9.310000000000000e+003	2.933025e+000	3.150403e-004
9.360000000000000e+003	2.934602e+000	3.135259e-004
9.410000000000000e+003	2.936164e+000	3.120259e-004
9.460000000000000e+003	2.937711e+000	3.105402e-004
9.510000000000000e+003	2.939243e+000	3.090686e-004
9.560000000000000e+003	2.940760e+000	3.076109e-004
9.610000000000000e+003	2.942263e+000	3.061669e-004
9.660000000000000e+003	2.943753e+000	3.047363e-004
9.710000000000000e+003	2.945228e+000	3.033191e-004
9.760000000000000e+003	2.946690e+000	3.019150e-004
9.810000000000000e+003	2.948138e+000	3.005238e-004
9.860000000000000e+003	2.949574e+000	2.991454e-004
9.910000000000000e+003	2.950995e+000	2.977796e-004
9.960000000000000e+003	2.952404e+000	2.964262e-004
1.000000000000000e+004	2.953522e+000	2.953522e-004
