time	V(v1)	V(v2)
8.419456160728599e-003	0.000000e+000	1.762436e-001
8.511532053585741e-003	0.000000e+000	1.609327e-001
8.603607946442882e-003	0.000000e+000	1.468769e-001
8.695683839300021e-003	0.000000e+000	1.340761e-001
8.787759732157162e-003	0.000000e+000	1.225305e-001
8.879835625014303e-003	0.000000e+000	1.122399e-001
8.971911517871445e-003	0.000000e+000	1.027435e-001
9.063987410728586e-003	0.000000e+000	9.391586e-002
9.156063303585727e-003	0.000000e+000	8.575704e-002
9.248139196442868e-003	0.000000e+000	7.826704e-002
9.340215089300007e-003	0.000000e+000	7.144584e-002
9.432290982157148e-003	0.000000e+000	6.529345e-002
9.524366875014290e-003	0.000000e+000	5.980988e-002
9.592314464297962e-003	0.000000e+000	5.600798e-002
9.660262053581635e-003	0.000000e+000	5.241477e-002
9.728209642865308e-003	0.000000e+000	4.903027e-002
9.796157232148982e-003	0.000000e+000	4.585446e-002
9.864104821432655e-003	0.000000e+000	4.288735e-002
9.932052410716328e-003	0.000000e+000	4.012894e-002
1.000000000000000e-002	0.000000e+000	3.757922e-002
1.000000100000000e-002	5.000000e+000	3.758165e-002
1.003110446428776e-002	5.000000e+000	1.853644e-001
1.006220792857551e-002	5.000000e+000	3.291110e-001
1.009331139286327e-002	5.000000e+000	4.688214e-001
1.012441485715103e-002	5.000000e+000	6.044956e-001
1.015551832143878e-002	5.000000e+000	7.361337e-001
1.018662178572654e-002	5.000000e+000	8.637356e-001
1.021772525001430e-002	5.000000e+000	9.873014e-001
1.027631900001430e-002	5.000000e+000	1.210479e+000
1.036420962501430e-002	5.000000e+000	1.522189e+000
1.045210025001429e-002	5.000000e+000	1.808259e+000
1.054417614287143e-002	5.000000e+000	2.078307e+000
1.063625203572858e-002	5.000000e+000	2.329336e+000
1.072832792858572e-002	5.000000e+000	2.561347e+000
1.082040382144286e-002	5.000000e+000	2.774338e+000
1.091247971430000e-002	5.000000e+000	2.968311e+000
1.100455560715714e-002	5.000000e+000	3.143265e+000
1.109663150001428e-002	5.000000e+000	3.299200e+000
1.118870739287142e-002	5.000000e+000	3.443102e+000
1.128078328572856e-002	5.000000e+000	3.576869e+000
1.137285917858570e-002	5.000000e+000	3.700502e+000
1.146493507144284e-002	5.000000e+000	3.814000e+000
1.155701096429998e-002	5.000000e+000	3.917363e+000
1.164908685715712e-002	5.000000e+000	4.010592e+000
1.174116275001427e-002	5.000000e+000	4.093686e+000
1.183323864287141e-002	5.000000e+000	4.170368e+000
1.192531453572855e-002	5.000000e+000	4.241649e+000
1.201739042858569e-002	5.000000e+000	4.307530e+000
1.210946632144283e-002	5.000000e+000	4.368010e+000
1.220154221429997e-002	5.000000e+000	4.423090e+000
1.229361810715711e-002	5.000000e+000	4.472769e+000
1.238569400001425e-002	5.000000e+000	4.517048e+000
1.247776989287139e-002	5.000000e+000	4.557910e+000
1.256984578572853e-002	5.000000e+000	4.595894e+000
1.266192167858568e-002	5.000000e+000	4.631000e+000
1.275399757144282e-002	5.000000e+000	4.663228e+000
1.284607346429996e-002	5.000000e+000	4.692579e+000
1.293814935715710e-002	5.000000e+000	4.719052e+000
1.303022525001424e-002	5.000000e+000	4.742647e+000
1.312230114287138e-002	5.000000e+000	4.764421e+000
1.321437703572852e-002	5.000000e+000	4.784662e+000
1.330645292858566e-002	5.000000e+000	4.803369e+000
1.339852882144280e-002	5.000000e+000	4.820543e+000
1.349060471429994e-002	5.000000e+000	4.836183e+000
1.358268060715708e-002	5.000000e+000	4.850290e+000
1.367475650001422e-002	5.000000e+000	4.862863e+000
